Publication Years	records	% of 3130
2020	360	11.502
2019	654	20.895
2018	522	16.677
2017	406	12.971
2016	269	8.594
2015	243	7.764
2014	139	4.441
2013	146	4.665
2012	87	2.780
2011	64	2.045
2010	47	1.502
2009	41	1.310
2008	25	0.799
2007	31	0.990
2006	17	0.543
2005	15	0.479
2004	8	0.256
2003	15	0.479
2002	12	0.383
2001	4	0.128
2000	8	0.256
1999	6	0.192
1998	7	0.224
1997	2	0.064
1996	1	0.032
(1 Publication Years value(s) outside display options.)
(0 records (0.000%) do not contain data in the field being analyzed.)
